from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,35,56.5442,-26.1369,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,36,56.4943,-26.3543,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,37,55.657,-30.0037,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,38,55.1102,-32.387,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,39,54.5246,-34.3425,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,40,53.8977,-36.4357,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,41,53.8077,-36.736,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,42,53.3802,-38.1634,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,43,52.6905,-40.0023,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,44,51.9793,-41.8983,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,45,51.3939,-43.459,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,46,50.0,-46.5152,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,47,49.1892,-48.293,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,48,48.8991,-48.8281,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,49,48.2632,-50.001,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,50,46.8,-52.7,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,51,46.1,-54.0,6391.7062
